mask,overlay,shape_h,shape_w,nonzero,nonzero_ratio,bbox,bbox_area,bbox_frac,vis
real_mask_120_19626.png,real_overlay_120_19626.png,415,600,37286,0.1497429718875502,"(187, 124, 474, 293)",48503,0.19479116465863452,analysis_vis_real_mask_120_19626.png
real_mask_126_13812.png,real_overlay_126_13812.png,371,503,7111,0.038105598216630135,"(96, 69, 198, 147)",7956,0.04263368575608344,analysis_vis_real_mask_126_13812.png
real_mask_129_22014.png,real_overlay_129_22014.png,446,488,11465,0.052676799235462764,"(51, 89, 229, 178)",15842,0.07278725281187973,analysis_vis_real_mask_129_22014.png
real_mask_146_28371.png,real_overlay_146_28371.png,428,454,40451,0.20817551154843755,"(99, 136, 360, 303)",43587,0.2243145045082136,analysis_vis_real_mask_146_28371.png
real_mask_149_11657.png,real_overlay_149_11657.png,341,458,13281,0.08503758531931514,"(127, 145, 344, 208)",13671,0.08753473600635173,analysis_vis_real_mask_149_11657.png
real_mask_150_37987.png,real_overlay_150_37987.png,525,570,46955,0.15690893901420216,"(152, 205, 458, 372)",51102,0.1707669172932331,analysis_vis_real_mask_150_37987.png
real_mask_158_2657.png,real_overlay_158_2657.png,430,431,21290,0.11487616683753304,"(82, 188, 384, 282)",28388,0.1531754168240436,analysis_vis_real_mask_158_2657.png
real_mask_191_35222.png,real_overlay_191_35222.png,513,529,54859,0.20215051386079144,"(80, 193, 495, 357)",68060,0.25079501947475286,analysis_vis_real_mask_191_35222.png
real_mask_200_25720.png,real_overlay_200_25720.png,441,500,40202,0.18232199546485262,"(76, 178, 431, 304)",44730,0.20285714285714285,analysis_vis_real_mask_200_25720.png
real_mask_200_55211.png,real_overlay_200_55211.png,400,493,12601,0.06389959432048682,"(57, 85, 223, 175)",14940,0.07576064908722109,analysis_vis_real_mask_200_55211.png
real_mask_204_57717.png,real_overlay_204_57717.png,474,507,13327,0.05545568788022537,"(43, 99, 241, 170)",14058,0.05849749082465733,analysis_vis_real_mask_204_57717.png
real_mask_237_40846.png,real_overlay_237_40846.png,330,467,18305,0.11877879436765947,"(89, 181, 381, 268)",25404,0.16484329375121667,analysis_vis_real_mask_237_40846.png
real_mask_240_53235.png,real_overlay_240_53235.png,400,424,9092,0.05360849056603774,"(64, 72, 181, 162)",10530,0.06208726415094339,analysis_vis_real_mask_240_53235.png
real_mask_244_23520.png,real_overlay_244_23520.png,447,476,33149,0.1557958753971387,"(78, 187, 452, 315)",47872,0.22499201022690957,analysis_vis_real_mask_244_23520.png
real_mask_28_37630.png,real_overlay_28_37630.png,464,523,12996,0.05355376804905387,"(63, 98, 227, 188)",14760,0.06082283905848223,analysis_vis_real_mask_28_37630.png
real_mask_316_16660.png,real_overlay_316_16660.png,330,351,3545,0.030605197271863938,"(71, 72, 141, 125)",3710,0.032029698696365363,analysis_vis_real_mask_316_16660.png
real_mask_325_42807.png,real_overlay_325_42807.png,347,365,1522,0.012016896293079626,"(51, 65, 112, 92)",1647,0.013003829300067112,analysis_vis_real_mask_325_42807.png
real_mask_33_33818.png,real_overlay_33_33818.png,495,527,7234,0.02773081862265923,"(63, 124, 231, 174)",8400,0.032200563509861425,analysis_vis_real_mask_33_33818.png
real_mask_33_41960.png,real_overlay_33_41960.png,433,466,5046,0.02500768170960164,"(58, 107, 204, 143)",5256,0.02604842946208209,analysis_vis_real_mask_33_41960.png
real_mask_37_24818.png,real_overlay_37_24818.png,350,370,4000,0.03088803088803089,"(44, 88, 171, 122)",4318,0.03334362934362935,analysis_vis_real_mask_37_24818.png
real_mask_39_10802.png,real_overlay_39_10802.png,314,430,14053,0.10408087690712486,"(158, 126, 322, 216)",14760,0.10931713820174789,analysis_vis_real_mask_39_10802.png
real_mask_45_19434.png,real_overlay_45_19434.png,351,482,20114,0.11888971640008984,"(124, 142, 373, 235)",23157,0.13687626343228004,analysis_vis_real_mask_45_19434.png
real_mask_45_55508.png,real_overlay_45_55508.png,518,581,14720,0.04891047920307817,"(50, 107, 276, 178)",16046,0.053316409598681544,analysis_vis_real_mask_45_55508.png
real_mask_48_40483.png,real_overlay_48_40483.png,481,548,16197,0.06144816911240269,"(53, 102, 247, 191)",17266,0.06550374068622244,analysis_vis_real_mask_48_40483.png
real_mask_53_54536.png,real_overlay_53_54536.png,296,399,12009,0.10168156878683195,"(73, 160, 325, 212)",13104,0.11095305832147938,analysis_vis_real_mask_53_54536.png
real_mask_58_21107.png,real_overlay_58_21107.png,472,508,34160,0.1424663018817563,"(76, 179, 433, 307)",45696,0.1905778726811691,analysis_vis_real_mask_58_21107.png
real_mask_62_26057.png,real_overlay_62_26057.png,477,508,14028,0.05789134848709949,"(63, 85, 221, 193)",17064,0.0704204427276779,analysis_vis_real_mask_62_26057.png
real_mask_71_17568.png,real_overlay_71_17568.png,398,422,9883,0.05884279215985139,"(57, 70, 185, 160)",11520,0.06858939245992998,analysis_vis_real_mask_71_17568.png
real_mask_86_35608.png,real_overlay_86_35608.png,516,556,17961,0.06260456750878367,"(55, 113, 290, 270)",36895,0.1286006078857844,analysis_vis_real_mask_86_35608.png
real_mask_90_31990.png,real_overlay_90_31990.png,445,586,20993,0.08050389231890172,"(227, 184, 422, 295)",21645,0.08300417992867277,analysis_vis_real_mask_90_31990.png
real_mask_92_15567.png,real_overlay_92_15567.png,372,397,6078,0.04115543999349963,"(59, 77, 164, 147)",7350,0.04976842447387666,analysis_vis_real_mask_92_15567.png
